0.0000	2	2.11	315
0.0833	2	1.46	315
0.1667	2	1.70	354
0.2500	2	2.09	336
0.3333	2	2.35	343
0.4167	2	2.16	336
0.5000	2	1.56	4
0.5833	2	2.03	332
0.6667	2	1.56	345
0.7500	2	1.82	347
0.8333	2	2.36	339
0.9167	2	1.65	348
1.0000	2	1.75	338
1.0833	2	1.28	354
1.1667	2	2.65	353
1.2500	2	1.84	343
1.3333	2	2.63	356
1.4167	2	2.13	346
1.5000	2	1.36	340
1.5833	2	1.62	348
1.6667	2	2.01	347
1.7500	2	0.68	334
1.8333	2	1.46	333
1.9167	2	2.04	337
2.0000	2	1.97	345
2.0833	2	1.08	333
2.1667	2	0.63	352
2.2500	2	2.25	344
2.3333	2	2.87	340
2.4167	2	1.01	349
2.5000	2	1.03	275
2.5833	2	1.97	313
2.6667	2	1.40	300
2.7500	2	0.91	329
2.8333	2	0.98	273
2.9167	2	2.12	321
3.0000	2	2.76	332
3.0833	2	1.36	1
3.1667	2	1.67	326
3.2500	2	1.87	318
3.3333	2	1.63	304
3.4167	2	0.38	285
3.5000	2	1.91	297
3.5833	2	1.45	341
3.6667	2	2.06	326
3.7500	2	1.16	303
3.8333	2	2.20	257
3.9167	2	2.55	268
4.0000	2	2.16	268
4.0833	2	2.91	345
4.1667	2	2.23	347
4.2500	2	1.95	317
4.3333	2	1.91	281
4.4167	2	2.40	324
4.5000	2	1.15	292
4.5833	2	2.34	271
4.6667	2	3.05	278
4.7500	2	2.91	272
4.8333	2	2.77	257
4.9167	2	2.09	265
5.0000	2	3.05	272
5.0833	2	2.03	269
5.1667	2	2.79	332
5.2500	2	2.73	333
5.3333	2	2.14	303
5.4167	2	1.91	241
5.5000	2	2.14	258
5.5833	2	2.75	264
5.6667	2	2.29	267
5.7500	2	1.88	255
5.8333	2	1.94	262
5.9167	2	2.50	267
6.0000	2	2.33	229
