avgtime,time,n,ubar,vbar,wbar,tbar,cov_uv,cov_vw,cov_wt,Spod,Sentinel,L,wd,ws
7/5/14 14:30,7/5/14 14:30,300,-1.029366667,0.0907,0.0504,299.0326667,-0.037902452,0.0228141,0.184306957,0.095401063,0.123335996,-3.851209174,275,1.03
7/5/14 14:35,7/5/14 14:35,300,-1.435433333,1.344966667,0.154133333,299.7433,0.479819718,0.036565356,0.13807093,0.046301889,0.147056792,-184.8691446,313,1.97
7/5/14 14:40,7/5/14 14:40,300,-1.211666667,0.692466667,0.005833333,299.3635667,0.167926533,0.027943757,0.175156717,0.070480529,0.067837148,-30.62399342,300,1.40
7/5/14 14:45,7/5/14 14:45,300,-0.475566667,0.776533333,0.133166667,299.3602333,0.139489668,-0.031201026,0.121751433,0.050032238,0.054843008,-33.89605297,329,0.91
7/5/14 14:50,7/5/14 14:50,300,-0.981066667,0.049033333,0.105233333,299.4702667,0.015712009,0.053268287,0.115257128,0.074248181,0.081791432,-8.675120188,273,0.98
7/5/14 14:55,7/5/14 14:55,300,-1.3469,1.637333333,0.143533333,300.2505333,0.336682542,0.043867313,0.136814497,0.062537639,0.070308801,-110.759145,321,2.12
7/5/14 15:00,7/5/14 15:00,300,-1.278733333,2.449733333,0.197833333,299.4125,-0.138739126,0.066408785,0.091023495,0.038010389,0.033517906,-50.62011449,332,2.76
7/5/14 15:05,7/5/14 15:05,300,0.027266667,1.359266667,0.076566667,299.3354,-0.263419737,-0.048741991,0.188746027,0.014872556,0.003829232,-56.09602247,1,1.36
7/5/14 15:10,7/5/14 15:10,300,-0.9378,1.3836,0.076466667,299.8016,-0.299425672,0.024080656,0.120998314,0.033575632,0.031612074,-104.0643635,326,1.67
7/5/14 15:15,7/5/14 15:15,300,-1.2509,1.3903,0.181833333,299.7430667,0.166176191,0.054587742,0.07477262,0.019490844,0.046630562,-74.80857517,318,1.87
7/5/14 15:20,7/5/14 15:20,300,-1.353866667,0.899133333,0.072966667,299.5808333,0.242708343,-0.055981032,0.132133974,0.040457436,0.059034187,-71.89913823,304,1.63
7/5/14 15:25,7/5/14 15:25,300,-0.367833333,0.0958,-0.0347,299.1461,-0.132049064,-0.014464957,0.092519067,0.0535248,0.021029878,-39.93505164,285,0.38
7/5/14 15:30,7/5/14 15:30,300,-1.699166667,0.880933333,0.2152,300.3479,0.081040691,0.070285766,0.154958448,0.069616506,0.102293676,-17.37257431,297,1.91
7/5/14 15:35,7/5/14 15:35,300,-0.468366667,1.374966667,0.091833333,299.3942333,-0.09774426,0.024178824,0.129841377,0.016195912,0.00387965,-18.79430736,341,1.45
7/5/14 15:40,7/5/14 15:40,300,-1.1562,1.706933333,0.2101,299.9852667,-0.031751853,-0.061363906,0.130893117,0.025661434,0.031383113,-10.61790941,326,2.06
7/5/14 15:45,7/5/14 15:45,300,-0.968733333,0.633433333,0.089966667,299.9510333,0.205436105,-0.064074133,0.1405997,0.036838292,0.051176386,-54.32908403,303,1.16
7/5/14 15:50,7/5/14 15:50,300,-2.145433333,-0.507666667,0.0945,300.0651333,-0.129468216,-0.002536957,0.141887191,0.10138037,0.108485667,-25.13946717,257,2.20
7/5/14 15:55,7/5/14 15:55,300,-2.549333333,-0.077133333,0.074766667,299.7010333,-0.155752754,0.033249835,0.122050242,0.121666956,0.069552662,-39.81373264,268,2.55
7/5/14 16:00,7/5/14 16:00,300,-2.160533333,-0.091766667,0.086233333,299.9735,0.478529489,0.072863557,0.182765736,0.116793777,0.071729133,-141.0037501,268,2.16
7/5/14 16:05,7/5/14 16:05,300,-0.747266667,2.8136,0.053866667,299.8063667,-0.022337632,-0.064116642,0.116059581,0.007696282,0.008302586,-11.65851878,345,2.91
7/5/14 16:10,7/5/14 16:10,300,-0.511266667,2.171766667,0.185366667,300.1148,-7.80E-05,-0.071576402,0.120394555,-0.001483078,-0.000646245,-12.177263,347,2.23
